QuestionID,SourceFolder,Part,Label,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Translation,ImageFile,AudioFile
E3-P1-1,3,1,Question 1,,The restaurant is on fire.,The chefs are placing pizzas in the oven.,The waitresses are getting impatient.,The cooks are working in an open kitchen.(正解),D,"a. 這家餐廳失火了

b. 大廚們正在將披薩放入烤爐內

c. 這些女服務生們越來越不耐煩了

d. 廚師們在開放式的廚房裡工作",T03-01-004.jpg,T03-01-004.mp3
E3-P1-2,3,1,Question 2,,The intersection is controlled by a traffic cop.,The road goes along the coast.,The path is blocked.,The street lacks traffic.(正解),D,"a. 這個十字路口被交通警察控制著

b. 這條道路沿著海岸線

c. 這道路被封鎖了

d. 這條路上幾乎沒有車流",T03-01-006.jpg,T03-01-006.mp3
E3-P1-3,3,1,Question 3,,The women are asking Santa for gifts.,The women are applying to work with Santa.,The women are dressed like Santa.,The women are posing with Santa.(正解),D,"a. 這些女士正在向聖誕老公公要禮物

b. 這些女士正在申請和聖誕老公公一起工作

c. 這些女士打扮得和聖誕老公公一樣

d. 這些女士正在和聖誕老公公一起擺姿勢照相",T03-01-001.jpg,T03-01-001.mp3
E3-P1-4,3,1,Question 4,,The dog's racing through a field.,The dog is on a leash.(正解),The dog is barking at a woman.,The woman is punishing the dog.,B,"a. 這隻狗在草皮上奔馳著

b. 這隻狗被狗鍊栓著

c. 這隻狗正對著一位女士吠叫

d. 這位女士正在處罰她的狗",T03-01-005.jpg,T03-01-005.mp3
E3-P1-5,3,1,Question 5,,Passengers can finish their tour at several places.(正解),The driver is cruising down the freeway.,A tour guide is introducing the landmark.,The school bus is stopped at the roadside.,A,"a. 乘客可以在幾個地方結束旅程

b. 這位駕駛飛快地開在高速公路上

c. 有位導遊正在介紹地標

d. 校車停在路旁",T03-01-003.jpg,T03-01-003.mp3
E3-P1-6,3,1,Question 6,,The concert is sold out.,The priest is reading from the bible.,The event hasn't yet begun.(正解),The church is being closed down.,C,"a. 這場音樂會票已銷售一空

b. 牧師正在朗讀聖經

c. 活動還沒開始

d. 這間教堂即將被關閉",T03-01-002.jpg,T03-01-002.mp3
E3-P2-1,3,2,Question 1,"Beautiful car, isn't it?","No, they weren't in the trunk.","Yes, I find her quite attractive, too.","Yes indeed, I'll bet it's pretty expensive though.(正解)",,C,"漂亮的車子，是不是？

a. 不，後車箱裡沒有

b. 是啊，我也發現她相當迷人

c. 的確是，但我打賭這一定很貴",,T03-02-001.mp3
E3-P2-2,3,2,Question 2,Can you tell me how to attach a file to my email?,"Yes, I'll need to forward that to Ron Parker later this afternoon.",He gave me a really nasty look after I asked him that question today.,All you need to do is click this button and locate the file in your computer.(正解),,C,"你可以告訴我怎麼用email夾帶檔案嗎？

a. 是的，我下午晚一點需要寄給Ron Parker

b. 我今天問他問題後，他給我一個非常鄙棄的眼神

c. 你只需要點選這個按鈕，然後找出電腦裡的檔案即可",,T03-02-019.mp3
E3-P2-3,3,2,Question 3,I had the memo Mr. Hartley wrote sitting right here on my desk. Where is it?,The memo was sent out to the entire office.,I'm sure it's here somewhere. Have you checked your briefcase?(正解),Mr. Hartley wrote the memo and gave it to all the employees.,,B,"我把Hartley先生寫得備忘錄擺在桌子上。放哪裡了？

a. 備忘錄已經寄給整個辦公室的人了

b. 我很確定它在這裡的某個地方。你有確認過公事包裡嗎？

c. Hartley先生寫了這份備忘錄並給所有員工一人一份",,T03-02-016.mp3
E3-P2-4,3,2,Question 4,What's the matter with the vehicle?,It's a 1997 Nissan Maxima.,Theodore Slater was the man who sold it to me.,I think the brakes and tires need to be replaced immediately.(正解),,C,"這台車有什麼問題嗎？

a. 這是台1997生產的Nissan Maxima

b. 賣給我的人是Theodore Slater 

c. 我想煞車皮與輪胎需要立即更換",,T03-02-022.mp3
